Relative Path,File Name,Assert Location (Line Number),Assert Count
numpy-git/numpy/distutils/unixccompiler.py,unixccompiler.py,,0
numpy-git/numpy/distutils/numpy_distribution.py,numpy_distribution.py,,0
numpy-git/numpy/distutils/conv_template.py,conv_template.py,,0
numpy-git/numpy/distutils/cpuinfo.py,cpuinfo.py,,0
numpy-git/numpy/distutils/ccompiler.py,ccompiler.py,,0
numpy-git/numpy/distutils/msvc9compiler.py,msvc9compiler.py,,0
numpy-git/numpy/distutils/npy_pkg_config.py,npy_pkg_config.py,,0
numpy-git/numpy/distutils/misc_util.py,misc_util.py,"144,192,267,269,1000,1063,1170,1182,1296,1345,1504,1884",12
numpy-git/numpy/distutils/log.py,log.py,,0
numpy-git/numpy/distutils/line_endings.py,line_endings.py,,0
numpy-git/numpy/distutils/checks/cpu_avx512_skx.c,cpu_avx512_skx.c,,0
numpy-git/numpy/distutils/checks/cpu_f16c.c,cpu_f16c.c,,0
numpy-git/numpy/distutils/checks/extra_vsx4_mma.c,extra_vsx4_mma.c,,0
numpy-git/numpy/distutils/checks/extra_avx512f_reduce.c,extra_avx512f_reduce.c,,0
numpy-git/numpy/distutils/checks/cpu_ssse3.c,cpu_ssse3.c,,0
numpy-git/numpy/distutils/checks/cpu_sse42.c,cpu_sse42.c,,0
numpy-git/numpy/distutils/checks/cpu_sse3.c,cpu_sse3.c,,0
numpy-git/numpy/distutils/checks/cpu_xop.c,cpu_xop.c,,0
numpy-git/numpy/distutils/checks/cpu_vsx.c,cpu_vsx.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512cd.c,cpu_avx512cd.c,,0
numpy-git/numpy/distutils/checks/cpu_neon_vfpv4.c,cpu_neon_vfpv4.c,,0
numpy-git/numpy/distutils/checks/cpu_asimddp.c,cpu_asimddp.c,,0
numpy-git/numpy/distutils/checks/extra_avx512bw_mask.c,extra_avx512bw_mask.c,,0
numpy-git/numpy/distutils/checks/cpu_avx.c,cpu_avx.c,,0
numpy-git/numpy/distutils/checks/cpu_sse41.c,cpu_sse41.c,,0
numpy-git/numpy/distutils/checks/cpu_vsx2.c,cpu_vsx2.c,,0
numpy-git/numpy/distutils/checks/cpu_vx.c,cpu_vx.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512_knl.c,cpu_avx512_knl.c,,0
numpy-git/numpy/distutils/checks/cpu_popcnt.c,cpu_popcnt.c,,0
numpy-git/numpy/distutils/checks/cpu_sse.c,cpu_sse.c,,0
numpy-git/numpy/distutils/checks/cpu_neon.c,cpu_neon.c,,0
numpy-git/numpy/distutils/checks/extra_avx512dq_mask.c,extra_avx512dq_mask.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512f.c,cpu_avx512f.c,,0
numpy-git/numpy/distutils/checks/cpu_vxe2.c,cpu_vxe2.c,,0
numpy-git/numpy/distutils/checks/cpu_avx2.c,cpu_avx2.c,,0
numpy-git/numpy/distutils/checks/cpu_neon_fp16.c,cpu_neon_fp16.c,,0
numpy-git/numpy/distutils/checks/cpu_vsx3.c,cpu_vsx3.c,,0
numpy-git/numpy/distutils/checks/cpu_fma4.c,cpu_fma4.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512_knm.c,cpu_avx512_knm.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512_cnl.c,cpu_avx512_cnl.c,,0
numpy-git/numpy/distutils/checks/cpu_asimd.c,cpu_asimd.c,,0
numpy-git/numpy/distutils/checks/cpu_vxe.c,cpu_vxe.c,,0
numpy-git/numpy/distutils/checks/extra_vsx_asm.c,extra_vsx_asm.c,,0
numpy-git/numpy/distutils/checks/cpu_asimdfhm.c,cpu_asimdfhm.c,,0
numpy-git/numpy/distutils/checks/cpu_asimdhp.c,cpu_asimdhp.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512_clx.c,cpu_avx512_clx.c,,0
numpy-git/numpy/distutils/checks/cpu_avx512_icl.c,cpu_avx512_icl.c,,0
numpy-git/numpy/distutils/checks/cpu_sse2.c,cpu_sse2.c,,0
numpy-git/numpy/distutils/checks/cpu_fma3.c,cpu_fma3.c,,0
numpy-git/numpy/distutils/checks/cpu_vsx4.c,cpu_vsx4.c,,0
numpy-git/numpy/distutils/checks/test_flags.c,test_flags.c,,0
numpy-git/numpy/distutils/lib2def.py,lib2def.py,,0
numpy-git/numpy/distutils/pathccompiler.py,pathccompiler.py,,0
numpy-git/numpy/distutils/system_info.py,system_info.py,"737,1010,1023",3
numpy-git/numpy/distutils/__init__.py,__init__.py,,0
numpy-git/numpy/distutils/core.py,core.py,,0
numpy-git/numpy/distutils/exec_command.py,exec_command.py,113,1
numpy-git/numpy/distutils/from_template.py,from_template.py,,0
numpy-git/numpy/distutils/mingw32ccompiler.py,mingw32ccompiler.py,,0
numpy-git/numpy/distutils/mingw/gfortran_vs2003_hack.c,gfortran_vs2003_hack.c,,0
numpy-git/numpy/distutils/fcompiler/gnu.py,gnu.py,255,1
numpy-git/numpy/distutils/fcompiler/compaq.py,compaq.py,,0
numpy-git/numpy/distutils/fcompiler/intel.py,intel.py,25,1
numpy-git/numpy/distutils/fcompiler/none.py,none.py,,0
numpy-git/numpy/distutils/fcompiler/nag.py,nag.py,,0
numpy-git/numpy/distutils/fcompiler/pg.py,pg.py,,0
numpy-git/numpy/distutils/fcompiler/ibm.py,ibm.py,,0
numpy-git/numpy/distutils/fcompiler/sun.py,sun.py,,0
numpy-git/numpy/distutils/fcompiler/nv.py,nv.py,,0
numpy-git/numpy/distutils/fcompiler/lahey.py,lahey.py,,0
numpy-git/numpy/distutils/fcompiler/__init__.py,__init__.py,"245,272,294,423,592",5
